Date,Plot,Tag,Distance,Angle,Observer,Observer_height,Height,Comments
6/19/2017,C6,1406,9.9,55,Sierra,1.53,15.7,
6/19/2017,C6,1407,8.8,48,Sierra,1.53,11.3,
6/19/2017,C6,1408,5.4,61,Sierra,1.53,11.3,
6/19/2017,C6,1409,5,62,Sierra,1.53,10.9,
6/19/2017,C6,1410,7.9,26,Sierra,1.53,5.4,Snag
6/19/2017,C6,1411,9.3,62,Sierra,1.53,19,
6/19/2017,C6,1412,8.2,40,Sierra,1.53,8.4,
6/19/2017,C6,1413,6.9,47,Sierra,1.53,8.9,
6/19/2017,C6,1414,7.4,52,Sierra,1.53,11,
6/19/2017,C6,1415,8.6,60,Sierra,1.53,16.4,
6/19/2017,C6,1416,9.9,47,Sierra,1.53,12.1,
6/19/2017,C6,1417,6.7,50,Sierra,1.53,9.5,
6/19/2017,C6,1418,7.3,26,Sierra,1.53,5.1,
6/19/2017,C6,1419,8,52,Sierra,1.53,11.8,
6/19/2017,C6,1420,8.6,46,Sierra,1.53,10.4,
6/19/2017,C6,1421,8,52,Sierra,1.53,11.8,
6/19/2017,C6,1422,9.7,41,Sierra,1.53,10,
6/19/2017,C6,1423,5.9,46,Sierra,1.53,7.6,Snag
6/19/2017,C6,1424,8.1,53,Sierra,1.53,12.3,
6/19/2017,C6,1425,8.4,51,Sierra,1.53,11.9,Snag
6/19/2017,C6,1426,8,56,Sierra,1.53,13.4,
6/19/2017,C6,1427,9.7,62,Sierra,1.53,19.8,
6/19/2017,C6,1428,7.6,48,Sierra,1.53,10,
6/19/2017,C6,1429,5.3,57,Sierra,1.53,9.7,Snag
6/19/2017,C6,1430,11.4,47,Sierra,1.53,13.8,
6/19/2017,C6,1431,5.3,57,Sierra,1.53,9.7,Snag
6/19/2017,C6,1432,4.4,11,Sierra,1.53,2.4,
6/19/2017,C6,1433,10.5,61,Sierra,1.53,20.5,
6/19/2017,C6,1434,9.2,34,Sierra,1.53,7.7,
6/19/2017,C6,1435,3.8,10,Sierra,1.53,2.2,
6/19/2017,C6,1436,9.9,67,Sierra,1.53,24.9,
6/19/2017,C6,1437,8.2,52,Sierra,1.53,12,Very Slanted
6/19/2017,C6,1438,6.3,41,Sierra,1.53,7,
6/19/2017,C6,1439,3.8,66,Sierra,1.53,10.1,
6/19/2017,C6,1440,7.1,62,Sierra,1.53,14.9,
6/19/2017,C6,1441,6.8,55,Sierra,1.53,11.2,
6/19/2017,A1,1442,6.7,62,Katie,1.56,14.2,
6/19/2017,A1,1443,7.6,50,Katie,1.56,10.6,
6/19/2017,A1,1444,8.4,58,Katie,1.56,15,
6/19/2017,A1,1445,4.4,8,Katie,1.56,2.2,
6/19/2017,A1,1446,12.7,50,Katie,1.56,16.7,
6/19/2017,A1,1447,7.9,45,Katie,1.56,9.5,
6/19/2017,A1,1448,3.1,7,Katie,1.56,1.9,
6/19/2017,A1,1449,4.5,15,Katie,1.56,2.8,
6/19/2017,A1,1450,3.8,27,Katie,1.56,3.5,
6/19/2017,A1,1451,14.6,50,Katie,1.56,19,
6/19/2017,A1,1452,8.4,59,Katie,1.56,15.5,
6/19/2017,A1,1453,3.9,21,Katie,1.56,3.1,
6/19/2017,A1,1454,7.1,51,Katie,1.56,10.3,
6/19/2017,A1,1455,7.5,56,Katie,1.56,12.7,
6/19/2017,A1,1456,10.3,58,Katie,1.56,18,
6/19/2017,A1,1457,8.9,25,Katie,1.56,5.7,
6/19/2017,A1,1458,4.2,26,Katie,1.56,3.6,
6/19/2017,A1,1459,3.5,6,Katie,1.56,1.9,
6/19/2017,A1,1460,10.3,57,Katie,1.56,17.4,
6/19/2017,A1,1461,8.5,54,Katie,1.56,13.3,
6/19/2017,A1,1462,10,45,Katie,1.56,11.6,
6/19/2017,A1,1463,2.7,11,Katie,1.56,2.1,
6/19/2017,A1,1464,3.4,13,Katie,1.56,2.3,
6/19/2017,A1,1465,2.7,3,Katie,1.56,1.7,
6/19/2017,A1,1466,7.5,54,Katie,1.56,11.9,
6/19/2017,A1,1467,2.7,15,Katie,1.56,2.3,
6/19/2017,A1,1468,2.5,7,Katie,1.56,1.9,
6/19/2017,A1,1469,2.3,8,Katie,1.56,1.9,
6/19/2017,A1,1470,12.7,45,Katie,1.56,14.3,
6/19/2017,A1,1471,5.6,50,Katie,1.56,8.2,
6/19/2017,A1,1472,5.7,54,Katie,1.56,9.4,
6/19/2017,A1,1473,14,55,Katie,1.56,21.6,Dead
6/19/2017,A1,1474,11,50,Katie,1.56,14.7,
6/19/2017,A1,1475,2.9,9,Katie,1.56,2,
6/19/2017,A1,1476,17,50,Katie,1.56,21.8,
6/19/2017,D1,1477,,,Katie,1.56,3,Broken at 3 m
6/19/2017,D1,1478,9.9,55,Katie,1.56,15.7,
6/19/2017,D1,1479,11.9,40,Katie,1.56,11.5,
6/19/2017,D1,1480,8,31,Katie,1.56,6.4,Dead
6/19/2017,D1,1481,9,51,Katie,1.56,12.7,
6/19/2017,D1,1482,11.2,58,Katie,1.56,19.5,
6/19/2017,D1,1483,10,51,Katie,1.56,13.9,
6/19/2017,D1,1484,7.2,49,Katie,1.56,9.8,
6/19/2017,D1,1485,8.3,56,Katie,1.56,13.9,
6/19/2017,D1,1486,13.3,45,Katie,1.56,14.9,
6/19/2017,D1,1487,5,50,Katie,1.56,7.5,
6/19/2017,D1,1488,7.3,68,Katie,1.56,19.6,
6/19/2017,D1,1489,8,58,Katie,1.56,14.4,
6/19/2017,D1,1490,6.6,68,Katie,1.56,17.9,
6/19/2017,D1,1491,7.5,61,Katie,1.56,15.1,
6/19/2017,D1,1492,8.1,59,Katie,1.56,15,
6/19/2017,D1,1493,7.4,55,Katie,1.56,12.1,
6/19/2017,D1,1494,11,56,Katie,1.56,17.9,
6/19/2017,B5,1495,5.8,45,Sierra,1.53,7.3,
6/19/2017,B5,1496,7.6,56,Sierra,1.53,12.8,
6/19/2017,B5,1497,6.1,49,Sierra,1.53,8.5,
6/19/2017,B5,1498,10.8,56,Sierra,1.53,17.5,
6/19/2017,B5,1499,13,46,Sierra,1.53,15,
6/19/2017,B5,1500,9.8,25,Sierra,1.53,6.1,
6/19/2017,B5,1602,15.5,50,Sierra,1.53,20,
6/19/2017,B5,1603,11,45,Sierra,1.53,12.5,
6/19/2017,B5,1604,9.7,60,Sierra,1.53,18.3,
6/19/2017,B5,1605,7.8,60,Sierra,1.53,15,
6/19/2017,B5,1606,5,33,Sierra,1.53,4.8,
6/19/2017,B5,1607,3.9,31,Sierra,1.53,3.9,
6/19/2017,B5,1608,6.1,42,Sierra,1.53,7,
6/19/2017,B5,1609,6.2,69,Sierra,1.53,17.7,
6/19/2017,B5,1610,7.9,47,Sierra,1.53,10,
6/19/2017,B5,1611,6.5,58,Sierra,1.53,11.9,
6/19/2017,B5,1612,7,66,Sierra,1.53,17.3,
6/19/2017,B5,1613,7.8,68,Sierra,1.53,20.8,
6/19/2017,B5,1614,7,11,Sierra,1.53,2.9,
6/19/2017,B5,1615,8.6,63,Sierra,1.53,18.4,
6/19/2017,B5,1616,10.6,56,Sierra,1.53,17.2,
