"Lon","Lat","CORNER","PlotID","stand","order","brn_rgm","Type","coords.x1","coords.x2","optional","x","y"
-88.0459108414627,41.8152478160844,"N-115","A1","A",1,"none","Permanent",413129.502049336,4629792.40971634,TRUE,413129.502049336,4629792.40971634
-88.0437241344399,41.8155778264257,"O-121","A2","A",2,"none","URF 2017",413311.571295884,4629826.84142636,TRUE,413311.571295884,4629826.84142636
-88.0481584286845,41.8162900689356,"R-109","A5","A",5,"none","URF 2017",412944.23284252,4629910.403086,TRUE,412944.23284252,4629910.403086
-88.0481219297765,41.8154673722188,"O-109","A6","A",6,"none","URF 2017",412946.150129917,4629819.02424596,TRUE,412946.150129917,4629819.02424596
-88.0382272708346,41.8157158299018,"O-136","B1","B",1,"none","URF 2017",413768.314211896,4629836.63243846,TRUE,413768.314211896,4629836.63243846
-88.0397539369073,41.8170507232659,"T-132","B2","B",2,"none","URF 2017",413643.306325776,4629986.3753768,TRUE,413643.306325776,4629986.3753768
-88.0389355683269,41.8151485429661,"M-134","B3","B",3,"none","URF 2017",413708.72311216,4629774.35915776,TRUE,413708.72311216,4629774.35915776
-88.0390331151431,41.8173438953762,"U-134","B5","B",5,"none","Permanent",413703.568487672,4630018.20128571,TRUE,413703.568487672,4630018.20128571
-88.0465713700582,41.8218234499373,"LL-114","C3","C",3,"some","URF 2017",413083.532512209,4630523.15340817,TRUE,413083.532512209,4630523.15340817
-88.0472552593701,41.8207075329853,"HH-112","C5","C",5,"some","URF 2017",413025.225404045,4630399.94806225,TRUE,413025.225404045,4630399.94806225
-88.0461554342419,41.8207353250069,"HH-115","C6","C",6,"some","Permanent",413116.604834959,4630401.92094,TRUE,413116.604834959,4630401.92094
-88.0465834547748,41.8220975674956,"MM-114","C8","C",8,"some","URF 2017",413082.899623164,4630553.60021775,TRUE,413082.899623164,4630553.60021775
-88.0413671861842,41.8120660173926,"B-127","D1","D",1,"lots","Permanent",413502.609116351,4629434.55947663,TRUE,413502.609116351,4629434.55947663
-88.0428574028661,41.8125778281893,"D-123","D14","D",14,"lots","URF 2017",413379.517753931,4629492.88557089,TRUE,413379.517753931,4629492.88557089
-88.0409884918581,41.81180091635,"A-128","D15","D",15,"lots","URF 2017",413533.707817353,4629404.74490486,TRUE,413533.707817353,4629404.74490486
-88.0428451078629,41.8123033662193,"C-123","D4","D",4,"lots","URF 2017",413380.16918378,4629462.40040726,TRUE,413380.16918378,4629462.40040726
